,index,name,address,rating,author,text,review_rating,neg,neu,pos,compound,roberta_neg,roberta_neu,roberta_pos,roberta_compound
215,215,Ashford & Simpson's Sugar Bar,"254 W 72nd St, New York, NY 10023, USA",4.5,Khadijah Shanice,"Everything was a 10/10 .COME HERE ! The service itself was absolutely spectacular. I went on a Wednesday night and they had on soft R&B. The stuffed shrimp with crab meat wasn’t over cooked and just the right amount, But that pan seared Chilean……Baaaabyyyyy Soooo Good and everything tasted sooo fresh ! 100% my new favorite place!

SB: The bartender/server Terrell was a sweetheart and knowledgeable.",5.0,0.0,0.761,0.239,0.9619,0.005616307,0.01052901,0.9838547,0.9806948
216,216,Ashford & Simpson's Sugar Bar,"254 W 72nd St, New York, NY 10023, USA",4.5,Mercedes O. (Mercisthetics),"The service was very good. The food was amazing. I got the fried catfish fillet with mac and cheese and sautéed spinach 10/10. The fried chicken was fried to perfection, it was crispy and packed with flavor. It is also located near the 2 & 1 train stations. You should check out this place, it’s definitely worth the try.",5.0,0.0,0.766,0.234,0.9359,0.0028440864,0.012442378,0.9847135,0.9866685
217,217,Ashford & Simpson's Sugar Bar,"254 W 72nd St, New York, NY 10023, USA",4.5,kricketbx,"While the place is small-- it's actually the perfect cozy spot for entertainment. You really have a personal warm connection with other patrons and as a "" people person"" I dig that.. The waiters are fast and the food is amazing and the ""railroad"" style layout gives it some old school swag!   Chicken & waffles: highly recommended",5.0,0.0,0.76,0.24,0.9306,0.0034156959,0.015289259,0.9812951,0.9838162
218,218,Yuki Japanese Restaurant,"165 W 72nd St, New York, NY 10023, USA",3.6,Grant Kang,"I came here because its near my school. They have Nice food, quiet. I had the all you can eat. Total I paid around $45 with tip. Good price for sushi. They don not have sashimi included in the ayce. If you want a ayce with sashimi, sides and dessert included there is a place called new sushi village in francis lewis blvd.",5.0,0.0,0.887,0.113,0.7184,0.009573115,0.09683529,0.8935916,0.92764956
219,219,Yuki Japanese Restaurant,"165 W 72nd St, New York, NY 10023, USA",3.6,Thomas Robinson,"All you can eat sushi in Manhattan is pretty rare and this place didn't really disappoint everything was fresh and pretty enjoyable the only thing is they do give you copious amounts of rice. I understand though, if not people would probably order way too much so I get it. Other than that the food was quite enjoyable",4.0,0.0,0.747,0.253,0.943,0.011216815,0.06380843,0.92497474,0.94005376
220,220,Yuki Japanese Restaurant,"165 W 72nd St, New York, NY 10023, USA",3.6,Raúl Perez-Hinojosa,Been coming to this place for as long as I can remember one of the best all you can eat sushi places that I’ve been to. Their house rolls are really delicious. Cannot recommend the Y2K enough. It’s one of my favorites out of all of the sushi places I’ve ever been to.,5.0,0.039,0.782,0.179,0.8631,0.0038105787,0.011281481,0.984908,0.9848329
221,221,Yuki Japanese Restaurant,"165 W 72nd St, New York, NY 10023, USA",3.6,Sam Brodkey,"The Chirashi lunch special fared me quite well. The fish seemed fresh, ginger potent, ample rice, and all plated beautifully in a bowl. Not to mention the traditionally Japanese styled interior. All in all, I felt relaxed and refreshed after such a meal.",5.0,0.0,0.71,0.29,0.923,0.0040497067,0.022534138,0.9734161,0.9786086
222,222,Yuki Japanese Restaurant,"165 W 72nd St, New York, NY 10023, USA",3.6,Nicole Chong,for the AYCE it was a complete rip off. First thing first they put so much rice in it. But when you order more after the first round they put EVEN more rice in the roll than the filling. Twice the amount of rice. Horrible! I would never recommend to go here it’s a scam!! save yourself money,1.0,0.194,0.743,0.063,-0.8762,0.9407399,0.052939575,0.0063204984,-1.3783196
223,223,RedFarm,"2170 Broadway, New York, NY 10024, USA",4.4,Rickie L Jones,The food IS delicious but there are not many options. The 5 chili chicken is basically the same as the chicken dumpling.  It’s a bit Spicy for me but very good. Great waiters here and music Not Too Loud.,5.0,0.0,0.698,0.302,0.9361,0.011713213,0.035816297,0.95247054,0.95280886
224,224,RedFarm,"2170 Broadway, New York, NY 10024, USA",4.4,William Poon,"We had a great time at RedFarm. We sat at the bar and our waitress/bartender was Aisha, who was extremely kind and hospitable. Not just to us, but every single person she interacted with.

She made great recommendations for our first time there. We got the lunar New Year dumplings, the Crispy Beef, Crispy Chicken, and Wild Rice Noodle with Duck.

The rice noodles and crispy beef hit home for us.

In terms of food, as a Cantonese person, it’s very familiar and is high quality and very good. You can get similar quality with higher quantity and lower prices in Chinatown but you won’t get the same vibes or drinks. You’re really paying for the vibes.

Vibes are super nice. Definitely seems like the place to be.

Would go back with some friends for an experience and maybe try the Peking Duck. The prices are on the higher end so heads up.",5.0,0.024,0.782,0.195,0.9868,0.0044695823,0.024059406,0.97147095,0.97679627
225,225,RedFarm,"2170 Broadway, New York, NY 10024, USA",4.4,esther,"The food is always yummy that I want to try everything on the menu! The service and care is wonderful as well.

One note is that I saw a mouse running around inside the restaurant when I was dining that it did ruin the dinner I was enjoying.",4.0,0.066,0.629,0.304,0.9117,0.023522466,0.03716386,0.93931365,0.9226119
226,226,RedFarm,"2170 Broadway, New York, NY 10024, USA",4.4,Syed Ashrafulla,"Yes, they have Peking duck but please try all the excellent dishes as well. I love their dumplings, soupy and soft and umami. I love their asparagus and their snow peas, tender but crisp and salted correctly. I love their wings, meaty and stuffed to have multiple textures. I love their steak, oh my goodness that sweet salty fatty steak. I recommend basically the whole menu. My advice is to order with balance: sweet and salty, fatty and light. You'll love this place.

Also the staff is so cool, they made me feel like I was part of the neighborhood. Thanks for taking care of us.",5.0,0.009,0.527,0.464,0.9975,0.004264459,0.020470472,0.9752651,0.9791036
227,227,RedFarm,"2170 Broadway, New York, NY 10024, USA",4.4,David Visoky,We liked it. Had a bunch of dumplings and various apps. Overall we liked it but it was so expensive for a Chinese lunch. Like $6 for each small dumpling.  The food was good nicely prepared and hot. Service was great and the decor ok.  With these prices I would try elsewhere,4.0,0.017,0.579,0.403,0.9776,0.012353381,0.047503024,0.9401436,0.945365
228,228,sweetgreen,"311 Amsterdam Ave, New York, NY 10023, USA",4.1,mandy,"Was excited to eat here since I've heard good things. It was my partner and I's first time so we were a bit indecisive, learning the ingredients and how the process worked. The woman serving us looked beyond annoyed. She was literally throwing our bowls down on the counter. Even my partner commented on her attitude to me privately. There was another woman who was smiling and greeting everyone - wish we got her instead. We pay and sit down where I realize our server got an ingredient wrong. The seating area was great, no blaring music, no cramped spaces. Overall the salad was very good, especially the chicken, but the pesto vinaigrette hardly has any flavor. Portion was generous so I'd hope they don't skimp anymore. I'd be willing to give sweetgreen a another chance but maybe earlier in the day or at a different location.",4.0,0.061,0.784,0.156,0.9457,0.07068103,0.1579579,0.77136105,0.7443185
229,229,sweetgreen,"311 Amsterdam Ave, New York, NY 10023, USA",4.1,Marc López,Excellent sevice. The front lady speaking Spanish was incredibly nice. She gave us some tourist recommendations for the evening. It made us feel at home. We'd gladly come back.,5.0,0.0,0.739,0.261,0.8479,0.0037834323,0.013336472,0.98288006,0.9838731
230,230,sweetgreen,"311 Amsterdam Ave, New York, NY 10023, USA",4.1,Lia Arakelian,"Sweet green is back on my radar. The miso glazed salmon and the roasted tofu recently have been delicious! And the spicy cashew dressing is tasting better than I remember it a few years ago.

I did a create your own kale salad this time with cucumber, pickled onion, spicy broccoli, basil, miso glazed salmon, nori seasoning, crispy rice and spicy cashew dressing. Highly recommend it was 🤤 especially with the salmon, nori seasoning, basil and crispy rice.

Service was very slow later in the evening on a Tuesday night.

I like this location for its extra space to sit inside.",5.0,0.0,0.836,0.164,0.9458,0.0068760384,0.036279395,0.9568446,0.96467024
231,231,sweetgreen,"311 Amsterdam Ave, New York, NY 10023, USA",4.1,Katerina Peregudin,"Service is always great but recently they’ve been cheeping out on ingredients, my bowl was third full… For such a costly salad to have such a meager amount is just not right.",3.0,0.05,0.871,0.079,0.2382,0.8885618,0.09741959,0.014018595,-1.2701144
232,232,sweetgreen,"311 Amsterdam Ave, New York, NY 10023, USA",4.1,John Phillips,"I came tonight about an hour before close. I expected service to be fine, but probably tired and ready to go home. Nai (spelling?) was working the front and she was so kind and warm. She makes a good salad too. Thank you!",5.0,0.067,0.572,0.361,0.9516,0.010525326,0.06910047,0.9203742,0.93913645
233,233,Pomodoro Rosso,"229 Columbus Ave, New York, NY 10023, USA",4.4,Shuping Lu,The tall handsome waiter was very helpful .  I forgot my reading glasses and he found a pair for me to use.  The food was delicious .  The drinks were well made too!,5.0,0.0,0.669,0.331,0.9078,0.008293862,0.027165769,0.9645404,0.9656825
234,234,Pomodoro Rosso,"229 Columbus Ave, New York, NY 10023, USA",4.4,Wainer Mussio,"Ended up here after an unexpected turn on my valentines date, and I'm so grateful that I found this place on the way.
Since the first step into the restaurant we had an incredible and warm welcoming experience by the management and employees.
I'll love to give an special mention to the server Goran. He showed us an incredible knowledge of the menu and help us with some amazing recommendations.
Food taste and quality matches with the outstanding service received.",5.0,0.0,0.731,0.269,0.9778,0.0030089393,0.011430284,0.9855607,0.98676246
235,235,Pomodoro Rosso,"229 Columbus Ave, New York, NY 10023, USA",4.4,Pablo Astwood,First time eating here and the food was delicious. Local joint feel that may transport you to a restaurant in Trastevere.  Can’t go wrong with this place. Reservation a must as the place gets packed.  Great place to dine before or after show at the Lincoln center.,4.0,0.059,0.794,0.147,0.6908,0.0046752193,0.019989196,0.9753356,0.9783174
236,236,Pomodoro Rosso,"229 Columbus Ave, New York, NY 10023, USA",4.4,Richard S,"This classic Italian is full of great New York character and kind of a must visit maybe pre-Lincoln Center.  Had a couple of seafood pastas - the seafood part was great except the lobster and shrimp were clearly frozen but the red sauce was amazing! Better than anywhere.

Service was nice except the uniforms they wear are kind of ridiculous.  Wonderful atmosphere and a sense you could be in Queens or anywhere in New York.  Crowd was older and local.",5.0,0.038,0.703,0.259,0.9696,0.005392155,0.021405062,0.97320276,0.9758171
237,237,Pomodoro Rosso,"229 Columbus Ave, New York, NY 10023, USA",4.4,Savannah Seraphim,"Stopped here for a late lunch in the sun, and was SO impressed. Food was delicious, service impeccable, and the white sangria some of the best I’ve ever had! Highly recommend!",5.0,0.045,0.591,0.364,0.9382,0.0029686757,0.0069307485,0.99010056,0.9891129
238,238,HARVEST KITCHEN,"269 Columbus Ave, New York, NY 10023, USA",4.3,James Stolhand,"What can I say that hasn't been said? My partner and I went on a rainy Saturday evening, and it was an incredible experience. First of all, the cocktails were amazing, the staff were really friendly, and the food? Oh. My. God. I would have taken a picture of the homemade guacamole and chips, but I destroyed those (it was bad, my mom would be ashamed if I still cared about her opinion). It wasn't just made with high quality ingredients, it was made with care and, dare I say, love.

For my main, I had the spicy red snapper tacos, and my partner ordered the steak. Both dishes were incredible, though the steak was a smidge underdone. My partner ended up sending it back, but they were really accommodating and brought it back perfectly cooked. The red snapper tacos were incredible, bursting with flavor and a mild heat that added to the whole experience.

Overall, we will definitely be going back, and if you've made it this far, why haven't you gone to Harvest Kitchen yet? Go!",5.0,0.072,0.777,0.151,0.9504,0.0069250125,0.025034463,0.96804047,0.9701702
239,239,HARVEST KITCHEN,"269 Columbus Ave, New York, NY 10023, USA",4.3,Cynthia Trujillo,"Exceptional Dining, Unmatched Hospitality!
Our dining experience at this restaurant was absolutely outstanding. The waitstaff went above and beyond to ensure we had a memorable evening. Their genuine warmth and enthusiasm for their city were infectious. As for the food, it was a tasty delight – a perfect fusion of flavors that showcased the best of New York's culinary scene. The staff's recommendations extended beyond the menu, providing us with insider tips on exploring the city like a local. A must-visit for anyone seeking a perfect blend of delicious food and genuine hospitality.

Thank you for a great experience.
Cindy
San Antonio, Texas",5.0,0.01,0.658,0.332,0.9913,0.0035470538,0.010779388,0.98567355,0.9857427
240,240,HARVEST KITCHEN,"269 Columbus Ave, New York, NY 10023, USA",4.3,Micha,"Very tasty New American food, fresh salad, homemade fries, very fast and really delicious. Very friendly and helpful service!!! The three big pancakes were great. Kimchi fried rice was very flavoured. In our short NY visit we had our lunch 2x here and were really happy.",5.0,0.0,0.644,0.356,0.9722,0.0026880282,0.008667499,0.9886445,0.9889462
241,241,HARVEST KITCHEN,"269 Columbus Ave, New York, NY 10023, USA",4.3,Alon Grinshpoon,"This place is a fantastic American restaurant! 🍴 Harvest Kitchen 🔪 serves a great selection of delicious 🤤 dishes 🍽️ - definitely get the Chips & Guacamole 🥑, the Chicken 🍗 with Corn 🌽 and Thyme, or Crispy Chicken 🐔 Sandwich 🥪 with Fries! 🍟 Staff 👨‍🍳 is welcoming, professional, and friendly! Service is quick ⏲️ and the ambience 🎶 is wonderful! I wish I came here more often!",5.0,0.0,0.624,0.376,0.9813,0.0021549037,0.010542472,0.98730266,0.98934156
242,242,HARVEST KITCHEN,"269 Columbus Ave, New York, NY 10023, USA",4.3,Tammy Augustin,So good ! I love that they let you substitute the fries for a salad and the regular bun for whole wheat. The bean burger is so delicious. My server was nice as well.,5.0,0.0,0.596,0.404,0.9559,0.0042235185,0.015532331,0.98024416,0.981675
243,243,Arte Cafe,"106 W 73rd St, New York, NY 10023, USA",4.3,Carol,"Authentic Italian restaurant with amazing food. Saturday night was packed but the service was attentive. We didn't have to wait too long for our dishes and everything was so delicious 😋.

My squid ink pasta was divine 🤤.",5.0,0.0,0.716,0.284,0.9424,0.004730452,0.01238729,0.98288226,0.9819802
244,244,Arte Cafe,"106 W 73rd St, New York, NY 10023, USA",4.3,Heidi L.,Very late post for last New Year's Eve dinner. Everything was delicious. Service was on point even when the place was packed. Balloons were everywhere for the festive ambience.,4.0,0.0,0.801,0.199,0.7717,0.006292085,0.018790413,0.9749175,0.97487456
245,245,Arte Cafe,"106 W 73rd St, New York, NY 10023, USA",4.3,myhome pc,"This used to be our favorite spot in the city. After many years, today i returned to meet with a colleague for lunch and this place continue to be awesome. The food is amazing. Great quality,big portions and prices continue to be affordable.",5.0,0.0,0.712,0.288,0.9432,0.003576686,0.012882517,0.98354083,0.98461705
246,246,Arte Cafe,"106 W 73rd St, New York, NY 10023, USA",4.3,Neici,The atmosphere  and the service were great . The food was bland. The meatballs didn’t have any seasoning not even little salt and pepper. The chicken Parmesan was tasteless and overcooked. I wasn’t pleased with my appetizer and main course.,2.0,0.0,0.837,0.163,0.7906,0.87932056,0.09833861,0.022340834,-1.2474706
247,247,Arte Cafe,"106 W 73rd St, New York, NY 10023, USA",4.3,Sara Silva,"Stopped by for dinner on a Saturday night. While we made reservations, there was plenty of seating available. Food was delicious, drinks were great, and we loved the atmosphere for a date night.",5.0,0.047,0.665,0.288,0.8957,0.0020838506,0.013441853,0.9844743,0.9880695
248,248,Felice 71- Columbus,"240 Columbus Ave, New York, NY 10023, USA",4.6,Michelle Serna,"Highly recommend. You will walk off the New York street straight into Italy. The carbonara is incredible. 3 of my party had it and everyone said it was just as good as when we were in Italy. The noodles were thick and tasty. I had the lasagna and it was super light and flavorful. Usually lasagna feels so heavy. The vibe was great, we throughly enjoyed it. Definitely recommend.",5.0,0.0,0.682,0.318,0.9778,0.0047123646,0.017294051,0.9779936,0.97957206
249,249,Felice 71- Columbus,"240 Columbus Ave, New York, NY 10023, USA",4.6,Carly Pisarri,"Popped in for a late lunch on a very rainy Saturday and sat at the bar. The vibe was super chill and I loved the music they were playing. The bar is very easy on the eyes. I wanted the food to be better though. I had a glass of red and the pizzette. The sauce was full of flavor but the crust killed the vibe…flavorless, crumbly and unfortunately undesirable.  I would give it a second chance though. Just don’t get the pizzette.",4.0,0.157,0.704,0.139,-0.6858,0.01876202,0.065796904,0.9154411,0.92019653
250,250,Felice 71- Columbus,"240 Columbus Ave, New York, NY 10023, USA",4.6,Abdullah,"We visited on a Saturday evening, and the place was completely booked so they let us use the downstairs lounge area which had a bar. It was actually very serene downstairs and the bartender (Sunny) was absolutely awesome. I enjoyed everything I tried, from the spinach to the cacio e pepe",5.0,0.0,0.792,0.208,0.9055,0.0024270555,0.015570969,0.9820019,0.9861468
251,251,Felice 71- Columbus,"240 Columbus Ave, New York, NY 10023, USA",4.6,Emi T,"The food is always good, service was way better than before. I used to like to go here as my cute neighborhood date spot but the last time I visited for Christmas, the service was noticeably worse, it wasn’t even a busy night.  Our waitress didn't even ask or look at our glass half filled with Pellegrino Sparkling water and just filled it up with tap water and walked away (while talking to another waiter!) I was shocked at how careless it was. She came to ask how the cake we ordered was for dessert without even looking (again), and we told her that we hadn't received the dessert yet! It's so hard to tip 20% for service like this, but it's not all about her and I hope it was just a bad day.",4.0,0.114,0.767,0.119,-0.532,0.21373422,0.19838202,0.5878838,0.36647344
252,252,Felice 71- Columbus,"240 Columbus Ave, New York, NY 10023, USA",4.6,Nat T.,"A decent staple in the neighborhood for pasta craving. Service was decent though we had to flag down staffs a few times to get what we need. Considering we came on a beautiful Friday peak dinner time, this is understandable.  There were some confusion where my friend state that she’s vegan but was recommended and brought a vegetarian dish though they quickly clear the plate away and brought her something else. Overall, this restaurant have potential - would come back to give this place a second try!",4.0,0.018,0.863,0.119,0.8335,0.008350814,0.11655884,0.8750903,0.9208435
253,253,Legend 72,"127 W 72nd St, New York, NY 10023, USA",4.0,Michael Tagaris,"Very good Szechuan restaurant. Was recommended to me by a family friend who was born in Szechuan, China. Food is fresh and light. The Mapo, Double Cooked Pork, Spicy Chicken, and Duck were all amazing. Definitely give them a try if you are looking for extremely satisfying Szechuan food!",5.0,0.0,0.66,0.34,0.9616,0.0026728264,0.012258934,0.98506826,0.9871885
254,254,Legend 72,"127 W 72nd St, New York, NY 10023, USA",4.0,Stewart Miller,"I've read through the previous complaints regarding service, which I found baffling. I found the service to be very good and accommodating.

My dan dan noodles were excellent, and my crispy fish in sweet and sour sauce was cooked to perfection. Despite the obligatory warning from my waiter (this wasn't processed fish but rather a real fish after all), I found that my fish had almost no bones. In short, the preparation was excellent: so good, that I took a picture of my food, something I am usually loathe to do.

Here, sadly, was the problem with my experience. The freshwater fish selected for my meal (it may have been a trout or possibly a carp) had a distinctively earthy flavor. I chose to ignore the muddy aftertaste as the fish had been prepared very well. Later on in the evening, as I sat through a concert, I kept burping up that unpleasant earthy taste. This made for an unpleasant experience. This restaurant must improve its supply of freshwater fish. It should not permit a forty dollar entree to be ruined by inferior supply.

This may be one of the few instances where using farm-raised fish may be preferable to wild caught fish, as the filtration systems in farm-raised specimens tend to cancel out the muddy taste prevalent in wild-caught specimens.",3.0,0.149,0.736,0.115,-0.8902,0.05409975,0.23021609,0.7156842,0.7496426
255,255,Legend 72,"127 W 72nd St, New York, NY 10023, USA",4.0,Trent Ransom,"This is one of the best restaurants I go to. I can have legend 72 everyday. It's better than almost all of Chinese restaurants I've been to. I think it's better than Che Li. If you like Mala, try Chendu fish fillet and mapo Tofu. If you like basic, simple lunch special, try Chao Fun, kung pao chicken or sesame chicken.",5.0,0.0,0.708,0.292,0.9638,0.005515184,0.016575228,0.97790956,0.9779244
256,256,Legend 72,"127 W 72nd St, New York, NY 10023, USA",4.0,Glenn Tucker,"The meal was ok. The server was rude to my wife while i was trying to figure out the tip. I found out from my wife afterwards the server started giving her attitude and speaking Chinese to comment because she thought i wasn't tipping. While all this was happening i was busy tipping 20% for our meal. If the restaurant management actually reads any of these reviews, please tell you staff to just  serve the food  and hold the attitude.",2.0,0.037,0.879,0.084,0.4404,0.6569684,0.30768025,0.03535135,-0.7962612
257,257,Legend 72,"127 W 72nd St, New York, NY 10023, USA",4.0,Yingxin Ye,The crispy whole fish with Pine Nuts and sweet and sour sauce taste so good. And I love the Dry Spicy Diced Chicken. Definitely recommend to everyone,5.0,0.059,0.517,0.424,0.9338,0.0043014446,0.017500112,0.9781984,0.9804963
258,258,Freddie & Pepper's,"303 Amsterdam Ave, New York, NY 10023, USA",4.4,Nancy Merrill,"We asked a local from Pine Bush where they would go in the city to get some great pizza, they suggested Freddie & Peppers and we were not disappointed.  The spinach feta pizza was so good with spinach in every bite! We also tried the margarita pizza. Excellent!",5.0,0.0,0.741,0.259,0.9401,0.0023240077,0.015427848,0.9822481,0.98647606
259,259,Freddie & Pepper's,"303 Amsterdam Ave, New York, NY 10023, USA",4.4,SupereFix,"Real american pizza restaurant.
Fresh tasty pizza 🍕 slices coocked in the oven.
Prices between $3.75 (cheese) - $5.75, highly recommended if you are around the area.",5.0,0.0,0.84,0.16,0.5256,0.0032798855,0.11265123,0.8840689,0.9354747
260,260,Freddie & Pepper's,"303 Amsterdam Ave, New York, NY 10023, USA",4.4,Petrita Villegas,"Late night bite, best pizza ever! Thanks for making our first trip to NY memorable with the authentic taste of NY pizza! 🍕Wall of fame with celebrities like Paul Rudd, Drew  Berrymore and Mike Tyson. When in NY eat at Freddie & Peppers since 1978!🫶🏼",5.0,0.0,0.749,0.251,0.9243,0.0019641558,0.015419049,0.9826167,0.98738
261,261,Freddie & Pepper's,"303 Amsterdam Ave, New York, NY 10023, USA",4.4,Ben Sheppard,So good that my sister who doesn't really like pizza went in and got herself a slice after trying a bite of mine. Al's the staff in here are wonderful! Thank you!,5.0,0.061,0.679,0.26,0.8248,0.01113104,0.033914678,0.9549543,0.9552151
262,262,Freddie & Pepper's,"303 Amsterdam Ave, New York, NY 10023, USA",4.4,Greg Smith,"Beautiful pizza! Ordered takeout as our hotel recommended these guy and was definitely a good choice!

Beautiful pizza and huge, even our small was huge!

A little on the pricey side but totally worth it, pizza was delicious!

Would happily use again!",5.0,0.0,0.523,0.477,0.9759,0.0040065404,0.014329587,0.9816638,0.9828188
263,263,Nice Matin,"201 W 79th St, New York, NY 10024, USA",4.3,Mermaid Traveler,"We love brunch, this is a MUST if you want to have delicious food in a cute atmosphere!! I'm gluten-free and they had one of the tastiest gluten-free sesame bagels that I have ever had!!! Every dish we ordered was superb, and the service was equally as impressive! Gavin could not have been kinder and more thoughtful as a server!! In a busy place like NYC, it was so awesome to feel so thoughtfully cared for!! While it may have been busy in the restaurant, I would have never noticed since Gavin was always there when we needed, so thoughtfully made sure whatever I ordered was safe for my allergies, and went above and beyond to help with my many menu questions! Thanks for a WONDERFUL brunch date. We will surely be back, especially if we get to sit in Gavin's section!!!",5.0,0.015,0.648,0.337,0.9954,0.0028150433,0.009592575,0.9875924,0.9881661
264,264,Nice Matin,"201 W 79th St, New York, NY 10024, USA",4.3,Viktorija Grillo,"Nice Matin has become our favorite New York brunch & dinner spot. We absolutely love the atmosphere and ambiance of this restaurant. From start to finish, we are warmly welcomed and taken care of.

The food is delicious, with emphasis on the steak & eggs dishes for brunch. The food is extremely fresh and served within a generally quick timeframe. The servers are so friendly and prompt with their service.

I highly highly highly recommend Nice Matin for all of your dining needs!!",5.0,0.0,0.656,0.344,0.9879,0.0027348397,0.00935029,0.9879148,0.98848766
265,265,Nice Matin,"201 W 79th St, New York, NY 10024, USA",4.3,PollyDee Perlstein,"Fabulous, plentiful food with excellent service. A wonderful place to relax and enjoy a leisurely meal without feeling like the staff is in a hurry to get rid of you. Top-notch, French food and lovely atmosphere. Outdoor seating as well. So good!",5.0,0.059,0.493,0.447,0.9745,0.008303527,0.019199684,0.97249687,0.96964145
266,266,Nice Matin,"201 W 79th St, New York, NY 10024, USA",4.3,James Graydon,"I had brunch here with a group, and I really want to give it five stars, but I can't. I had an eggs benedict, but the eggs were somewhere between soft and hard boiled (decidedly not poached). That brought my overall experience down, unfortunately. The coffee, on the other hand, was the best I've had in a restaurant. I had a cappuccino and an espresso and both were vastly superior to the majority of dedicated coffee shops in the city. Verdict: I will happily come back, but I might not order eggs when I do.",4.0,0.044,0.703,0.253,0.9757,0.6497628,0.2520733,0.098163895,-0.75044364
267,267,Nice Matin,"201 W 79th St, New York, NY 10024, USA",4.3,Cherylynn Grubbs,"Edit to add- manager quickly responded and refunded my meal. I can’t think of anything more they could’ve done, but that quick response and apology helped me decide to change the experience to 5 stars.
Original review: Got seated and waited for 20 minutes at my table. After the first 5-10 minutes had passed, I asked several staff when I’d be waited on, and nobody waited on me. I watched people come in *after* me get waited on, as I continued to be ignored. They did manage to take the extra chair and place setting away from my table, just to remind me I was dining alone (which was tough, since I’m recently widowed and dining alone is difficult enough as it is) - I asked each time who was my server and they looked around and left. I saw someone who looked like a manager walking around, and every so often she looked at me, so I know she knew I was there. How didn’t she notice the menu still sitting on the table? I left because I needed to get going on my day and don’t have all morning to sit and watch wait staff wait on everyone except me -  room service was an option. I went back to my room and ordered room service instead, which came relatively quickly, but with missing items (no brown sugar, no regular sugar for my coffee, just fake sweeteners, and a very small container of maple syrup after I had asked for extra (since my kid didn’t want the rum anglaise) - came with a tiny bit in a small creamer container. I called down for more maple syrup (French toast is dry without it), and they said they’d send some to my room. Never. came. The food is great, but the service was non-existent for me in the restaurant, and very poor when needed to fix missing room service items. $21 for French toast should come with better follow up when the restaurant makes a mistake and needs to send more syrup as requested. My $14 oatmeal was bland without any brown sugar. My $7 pot of coffee tasted off with just fake sugar available. Very disappointing experience. I gave three stars since the food is prepared well. This isn’t a kitchen problem, it’s a customer service failure. I can’t remember the last time I was somewhere with service this bad, so I felt compelled to give feedback.",5.0,0.136,0.806,0.057,-0.9897,0.1513046,0.44256893,0.40612644,0.40045398
268,268,New Cottage,"2199 Broadway, New York, NY 10024, USA",4.4,Augusto Paulino,"The shredded pork with dried bean curd lunch special ($12.95 plus tax) had julienned celery which contrasted nicely with the bean curd. The steamed roast pork bun ($6.95) was ok.

The corner location of New Cottage lets in lots of light, which is the best feature of its rather plain interior.",4.0,0.0,0.797,0.203,0.9001,0.009418286,0.23943359,0.7511481,0.8567375
269,269,New Cottage,"2199 Broadway, New York, NY 10024, USA",4.4,Nina Yang,The food here is delicious. Authentic Chinese food and very well priced. The service was great and the food was served quickly. Would highly recommend!,5.0,0.0,0.613,0.387,0.9228,0.0031229968,0.008389104,0.9884879,0.98799795
270,270,New Cottage,"2199 Broadway, New York, NY 10024, USA",4.4,M Atienzasis,"New on the corner of W78st & Broadway
Former location of Chinese Cuban restaurant pre-Covid days, accommodate  est. 25 people comfortably seated, with white tablecloths bragging neat service.
Spicy Tofu on white rice and eggdrop soup for  lunch special, served hot and right, $17 including tip. Small Customer restroom.Good for groups or Solo, but not accessible for large mobility devices",5.0,0.0,0.907,0.093,0.5789,0.010126395,0.53689116,0.4529824,0.7062384
271,271,New Cottage,"2199 Broadway, New York, NY 10024, USA",4.4,Victoria Bermejo,"I’ve always wanted to try the food here. My husband and I were on our way to get something else when our train got delayed… we decided to walk down on Broadway and he had to stop for cash. We instantly changed our minds when we saw this place on the corner. It was one of those meant to be things… we’re so happy we did. We were greeted warmly by everyone there. My son who’s 3 was welcomed. They adored him! We ordered Chinese broccoli, chicken wings, fried vegetable dumplings, fried rice, and sesame chicken. The oolong tea was delicious! 💯 recommend! I can’t wait to eat here again.",5.0,0.029,0.793,0.178,0.9602,0.005325338,0.037934918,0.9567397,0.9677192
272,272,New Cottage,"2199 Broadway, New York, NY 10024, USA",4.4,fashakin banke,"The meals were pretty underwhelming for me and my friends . It’s also more pricey than your average Chinese restaurant.
I won’t really be coming back but the food was definitely fresh .
Vegetables was not on the house as well.
I’ll give the shrimp dumplings a 5/5 because it was fresh ! My House  special lo mein was not wow, neither was my friend’s fried curry fish.
It was a 2.8/5 experience",3.0,0.066,0.693,0.24,0.9265,0.86324096,0.11763881,0.019120209,-1.2169218
273,273,Domino's Pizza,"148 W 72nd St, New York, NY 10023, USA",3.5,Sekou,"This is my first-ever Google review, and it's because of this guy here. He is the worst person I've ever come across at a Domino's. This is also my first and last time coming here. I was asking him for simple things, and he was somewhat yelling at me. His customer service is terrible. Other people who came in, mostly white individuals, received different treatment from him compared to how he treated me. What a piece of doodoo he is.",1.0,0.088,0.912,0.0,-0.802,0.94691366,0.04703086,0.00605555,-1.3907994
274,274,Domino's Pizza,"148 W 72nd St, New York, NY 10023, USA",3.5,Raheem Pereira,There is no reason why when I order my pizza and I put well done. My pizza is at my door within 15 minutes. And it’s not (( well done)) and it doesn’t taste fully cooked Why? Stop rushing the pizzas.  Come on !!,1.0,0.111,0.801,0.089,-0.2611,0.88697046,0.10181497,0.01121457,-1.2683336
